#Name,Hours Worked,Days Worked,Rate,Total Pay,Total Hours Possible
Aide Mcentyre,40,5,10.00,400.00,50
Lashandra Pestana,40,4,15.00,600.00,50
Anissa Fajardo,40,5,11.35,454.00,50
Mercedes Carrion,32,5,37.50,1200.00,50
Gertha Fredrick,31,4,14.20,440.20,50
Vannesa Backus,35,5,30.00,1050.00,50
Marth Christen,45,5,13.00,585.00,50
Bernard Zell,31,5,56.00,1736.00,50
Ericka Derosier,13,2,24.50,318.50,50
Caleb Janney,23,3,24.50,563.50,50
Roslyn Crosswell,12,1,54.20,650.4,50
Rayna Drrico,43,3,54.13,2327.59,50
Bridgett Castlebery,43,1,52.80,2270.4,50
Desiree Seeting,42,3,98.13,4121.46,50
Mui Bonenfant,19,4,20.00,380.00,50
Reba Prasad,38,5,54.25,2061.50,50
Janae Orum,27,6,34.85,940.95,50
Lura Storment,12,2,54.20,650.40,50
Twanda Crooms,10,3,13.00,130.00,50
Enid Riehl,19,2,87.50,1662.50,50
Genevieve Mccandless,14,4,23.00,322.00,50
Iesah Guilbault,36,5,45.90,1652.40,50
Aida Shibley,41,5,64.45,2642.45,50
Horense Mccreight,48,6,63.10,3028.80,50
Peggie Rotondo,15,5,34.80,522.00,50
Michael Jacome,6,3,87.90,527.40,50
Trula Pleasants,4,6,12.90,51.6,50
Galina Madonia,15,2,10.75,161.25,50
Coleman Gosier,27,5,11.25,303.75,50
Merry Tejera,35,6,65.65,2297.75,50
